,community_id,community_name,total_pop,pop_18_34,pct_18_34,asian_pop,pct_asian,total_households,high_income_households,high_income_share,crime_count,violent_crime_count,total_cta_rides,avg_cta_rides,num_cta_stations,num_divvy_stations,total_docks,avg_docks_per_station,pct_18_34_z,pct_asian_z,high_income_share_z,total_cta_rides_z,num_divvy_stations_z,crime_count_z,final_score,competition_score_x,final_score_adj,competition_score_y,num_competitors,final_score_white_space
0,1,ROGERS PARK,53169,16536,0.3110082943068329,2750,0.05172186800579285,9763,5262,0.5389736761241422,3450,1092,2983425.0,2239.8085585585586,4.0,17.0,255.0,15.0,0.5458581671093278,-0.12775071849208713,0.052723157002921434,0.5922825750336714,0.15153621233712067,0.26856514925762803,0.9460842437333263,,0.9460842437333263,,2.0,-0.053915756266673664
1,2,WEST RIDGE,79220,16113,0.2033956071699066,16696,0.21075485988386772,18028,9332,0.5176392278677613,3004,891,0.0,0.0,0.0,21.0,267.0,12.714285714285714,-0.7553183515241124,1.430902836322193,-0.058410814067346814,-0.41241506232320246,0.41977272612926525,0.07348362390110995,0.5510477106356865,,0.5510477106356865,,1.0,0.05104771063568647
2,3,UPTOWN,52674,18767,0.3562858336181038,5033,0.09554998671071116,9158,5619,0.6135619130814588,3863,1206,2453721.0,2456.1771771771773,3.0,19.0,353.0,18.57894736842105,1.0933221561682196,0.30180073629420195,0.44126317775164264,0.41389955642301907,0.28565446923319293,0.4492123913478566,2.0867277045224197,,2.0867277045224197,,6.0,-0.9132722954775803
3,4,LINCOLN SQUARE,42180,12761,0.30253674727358937,4345,0.1030109056424846,9343,6572,0.7034143208819437,1753,429,1753031.0,1316.0893393393394,4.0,19.0,308.0,16.210526315789473,0.4434262107162154,0.37492385167962694,0.9093162892778076,0.17793532487049538,0.28565446923319293,-0.4737069326482266,2.664963078425565,,2.664963078425565,,2.0,1.664963078425565
4,5,NORTH CENTER,35782,8693,0.24294337935274718,2264,0.06327203621932816,8598,7594,0.8832286578274017,1105,222,843933.0,1267.1666666666667,2.0,17.0,345.0,20.294117647058822,-0.27713465499490125,-0.014549611400221775,1.8459930235420363,-0.1282123452488672,0.15153621233712067,-0.757143767695365,2.3347763919305318,,2.3347763919305318,,3.0,0.8347763919305318
5,6,LAKE VIEW,90652,43334,0.4780258571239465,6386,0.07044521907955699,14856,12708,0.8554119547657512,5511,1218,7399050.0,3174.195624195624,7.0,61.0,2403.0,39.39344262295082,2.5653164365650176,0.055753454852850076,1.701092127293214,2.079287612852268,3.102137864050711,1.1700517496158875,8.333535745998173,11.97057142857143,-3.6370356825732575,,7.0,-7.1370356825732575
6,7,LINCOLN PARK,62067,27981,0.4508192759437382,4319,0.06958609244848309,11152,10116,0.9071018651362984,3566,582,3084076.0,4630.744744744745,2.0,48.0,892.0,18.583333333333332,2.2363536950349427,0.047333310317145286,1.970351727293746,0.6261777867107227,2.2303691942262414,0.31930384195125155,6.791281871631547,,6.791281871631547,19.5676,6.0,3.791281871631547
7,8,NEAR NORTH SIDE,91635,41422,0.45203252032520325,12354,0.13481748240301195,16007,13611,0.8503154869744487,10190,2403,9878024.0,4237.676533676534,7.0,61.0,1336.0,21.901639344262296,2.2510233881959136,0.6866543507969234,1.6745439505007929,2.9141064270906414,3.102137864050711,3.216658155766444,7.4118078248685375,19.3054,-11.893592175131461,,7.0,-15.393592175131461
8,9,EDISON PARK,11398,2397,0.21030005264081417,178,0.015616774872784699,2938,2523,0.8587474472430224,247,60,0.0,0.0,0.0,0.0,0.0,0.0,-0.6718346791063907,-0.4816101981767061,1.7184671500741897,-0.41241506232320246,-0.9884689712794937,-1.1324351326188908,0.2965733718072876,,0.2965733718072876,,0.0,0.2965733718072876
9,10,NORWOOD PARK,40074,6520,0.1626990068373509,2809,0.0700953236512452,10605,7722,0.7281471004243282,1016,230,434049.0,1303.4504504504505,1.0,3.0,33.0,11.0,-1.2473928656894673,0.05232419312098533,1.0381526188195662,-0.2662448033768191,-0.7872915859353853,-0.7960725922620244,-0.4143798507990959,,-0.4143798507990959,,0.0,-0.4143798507990959
10,11,JEFFERSON PARK,26991,5861,0.21714645622614945,3399,0.1259308658441703,6795,4709,0.6930095658572479,817,251,1287180.0,3865.4054054054054,1.0,6.0,91.0,15.166666666666666,-0.5890528081268932,0.5995582311418949,0.8551165401203893,0.021055430433619293,-0.5861142005912768,-0.8831156943829821,1.1836788873607156,,1.1836788873607156,,0.0,1.1836788873607156
11,12,FOREST GLEN,19763,2838,0.14360167990689673,2190,0.11081313565754188,5246,4392,0.8372093023255814,386,77,0.0,0.0,0.0,4.0,62.0,15.5,-1.4783042389827958,0.451392095185799,1.6062720960752548,-0.41241506232320246,-0.7202324574873492,-1.0716361818911868,0.5183486143588931,,0.5183486143588931,,0.0,0.5183486143588931
12,13,NORTH PARK,19259,4303,0.22342800768471882,6058,0.3145542343839244,4304,2495,0.5796933085501859,919,233,0.0,0.0,0.0,11.0,153.0,13.909090909090908,-0.5131007296505118,2.4482217092265572,0.2648371239378023,-0.41241506232320246,-0.2508185583510962,-0.838500637014451,2.375225119854,,2.375225119854,,3.0,0.875225119854
13,14,ALBANY PARK,47830,13989,0.2924733430901108,7124,0.14894417729458498,10671,5685,0.5327523193702558,2156,649,1425716.0,1427.143143143143,3.0,8.0,107.0,13.375,0.32174664328381125,0.8251075292883898,0.02031528438322837,0.06770878752785557,-0.4519959436952046,-0.29743371579020694,1.0803160165782872,,1.0803160165782872,,1.0,0.5803160165782872
